1.0000 0.8270 0.7806 0.8058 0.7789 0.6888 0.5792 0.3831 0.2354 0.2427
0.8270 1.0000 0.9103 0.8787 0.7744 0.7824 0.6199 0.4824 0.2403 0.2507
0.7806 0.9103 1.0000 0.8994 0.7570 0.7543 0.6495 0.5182 0.2264 0.2536
0.8058 0.8787 0.8994 1.0000 0.8506 0.8027 0.6888 0.5938 0.4161 0.3540
0.7789 0.7744 0.7570 0.8506 1.0000 0.9164 0.8352 0.6761 0.4859 0.4205
0.6888 0.7824 0.7543 0.8027 0.9164 1.0000 0.8555 0.7058 0.4772 0.4954
0.5792 0.6199 0.6495 0.6888 0.8352 0.8555 1.0000 0.7957 0.6591 0.6767
0.3831 0.4824 0.5182 0.5938 0.6761 0.7058 0.7957 1.0000 0.8844 0.7545
0.2354 0.2403 0.2264 0.4161 0.4859 0.4772 0.6591 0.8844 1.0000 0.8149
0.2427 0.2507 0.2536 0.3540 0.4205 0.4954 0.6767 0.7545 0.8149 1.0000
