1,1,2,2,1.828348e-80
1,2,2,3,1.738194e-80
1,3,2,4,1.453120e-80
1,4,2,5,3.968928e-81
1,5,2,6,-5.841342e-82
1,6,2,7,-6.917475e-82
1,7,2,8,1.497378e-82
1,8,2,9,6.892747e-82
1,9,2,10,6.066394e-82
1,10,2,11,4.239844e-82
1,11,2,12,3.436567e-82
1,12,2,13,4.418961e-84
2,1,3,2,1.738194e-80
2,2,3,3,2.115946e-80
2,3,3,4,1.944783e-80
2,4,3,5,1.050013e-80
2,5,3,6,4.240760e-81
2,6,3,7,2.058431e-81
2,7,3,8,1.659607e-81
2,8,3,9,1.575465e-81
2,9,3,10,1.115327e-81
2,10,3,11,7.349264e-82
2,11,3,12,4.990915e-82
2,12,3,13,1.233453e-82
3,1,4,2,1.453120e-80
3,2,4,3,1.944783e-80
3,3,4,4,2.206542e-80
3,4,4,5,1.534332e-80
3,5,4,6,8.395976e-81
3,6,4,7,4.508937e-81
3,7,4,8,2.905860e-81
3,8,4,9,2.178415e-81
3,9,4,10,1.409052e-81
3,10,4,11,9.157068e-82
3,11,4,12,5.686401e-82
3,12,4,13,2.140252e-82
4,1,5,2,3.968928e-81
4,2,5,3,1.050013e-80
4,3,5,4,1.534332e-80
4,4,5,5,1.750631e-80
4,5,5,6,1.190941e-80
4,6,5,7,6.688076e-81
4,7,5,8,3.799810e-81
4,8,5,9,2.344579e-81
4,9,5,10,1.369806e-81
4,10,5,11,8.637200e-82
4,11,5,12,4.604361e-82
4,12,5,13,2.870174e-82
5,1,6,2,-5.841342e-82
5,2,6,3,4.240760e-81
5,3,6,4,8.395976e-81
5,4,6,5,1.190941e-80
5,5,6,6,9.281508e-81
5,6,6,7,5.211823e-81
5,7,6,8,2.827167e-81
5,8,6,9,1.626820e-81
5,9,6,10,9.106072e-82
5,10,6,11,5.670440e-82
5,11,6,12,2.768028e-82
5,12,6,13,2.149749e-82
6,1,7,2,-6.917475e-82
6,2,7,3,2.058431e-81
6,3,7,4,4.508937e-81
6,4,7,5,6.688076e-81
6,5,7,6,5.211823e-81
6,6,7,7,3.160368e-81
6,7,7,8,1.703479e-81
6,8,7,9,9.524691e-82
6,9,7,10,5.367817e-82
6,10,7,11,3.340519e-82
6,11,7,12,1.606655e-82
6,12,7,13,1.274759e-82
7,1,8,2,1.497378e-82
7,2,8,3,1.659607e-81
7,3,8,4,2.905860e-81
7,4,8,5,3.799810e-81
7,5,8,6,2.827167e-81
7,6,8,7,1.703479e-81
7,7,8,8,1.039154e-81
7,8,8,9,5.820767e-82
7,9,8,10,3.324698e-82
7,10,8,11,2.093137e-82
7,11,8,12,1.056706e-82
7,12,8,13,7.373166e-83
8,1,9,2,6.892747e-82
8,2,9,3,1.575465e-81
8,3,9,4,2.178415e-81
8,4,9,5,2.344579e-81
8,5,9,6,1.626820e-81
8,6,9,7,9.524691e-82
8,7,9,8,5.820767e-82
8,8,9,9,4.039794e-82
8,9,9,10,2.269601e-82
8,10,9,11,1.427983e-82
8,11,9,12,7.687687e-83
8,12,9,13,4.481408e-83
9,1,10,2,6.066394e-82
9,2,10,3,1.115327e-81
9,3,10,4,1.409052e-81
9,4,10,5,1.369806e-81
9,5,10,6,9.106072e-82
9,6,10,7,5.367817e-82
9,7,10,8,3.324698e-82
9,8,10,9,2.269601e-82
9,9,10,10,1.572030e-82
9,10,10,11,9.337739e-83
9,11,10,12,5.086832e-83
9,12,10,13,2.729637e-83
10,1,11,2,4.239844e-82
10,2,11,3,7.349264e-82
10,3,11,4,9.157068e-82
10,4,11,5,8.637200e-82
10,5,11,6,5.670440e-82
10,6,11,7,3.340519e-82
10,7,11,8,2.093137e-82
10,8,11,9,1.427983e-82
10,9,11,10,9.337739e-83
10,10,11,11,6.812706e-83
10,11,11,12,3.309201e-83
10,12,11,13,1.709428e-83
11,1,12,2,3.436567e-82
11,2,12,3,4.990915e-82
11,3,12,4,5.686401e-82
11,4,12,5,4.604361e-82
11,5,12,6,2.768028e-82
11,6,12,7,1.606655e-82
11,7,12,8,1.056706e-82
11,8,12,9,7.687687e-83
11,9,12,10,5.086832e-83
11,10,12,11,3.309201e-83
11,11,12,12,2.100304e-83
11,12,12,13,8.605735e-84
12,1,13,2,4.418961e-84
12,2,13,3,1.233453e-82
12,3,13,4,2.140252e-82
12,4,13,5,2.870174e-82
12,5,13,6,2.149749e-82
12,6,13,7,1.274759e-82
12,7,13,8,7.373166e-83
12,8,13,9,4.481408e-83
12,9,13,10,2.729637e-83
12,10,13,11,1.709428e-83
12,11,13,12,8.605735e-84
12,12,13,13,6.874882e-84
