error summary
lower, upper, (I), (II), (III), (IV), (V), Total

  1.5,   2.0,   7.4,   5.6,   4.3,   8.1,   3.4,  13.1, 
  2.0,   3.0,   7.4,   5.6,   2.6,   7.2,   3.2,  12.3, 
  3.0,   3.5,   7.5,   5.4,   3.4,   6.9,   2.7,  12.2, 
  3.5,   4.0,   7.3,   4.5,   3.3,   8.7,   2.7,  12.8, 
  4.0,   5.0,   7.5,   4.2,   3.5,  11.8,   3.0,  15.1, 
  5.0,   6.0,   7.4,   3.5,   3.2,  10.9,   3.2,  14.4, 
  6.0,   8.0,   9.0,   3.3,   2.4,   9.9,   4.5,  14.7, 
  8.0,  10.0,  10.8,   3.4,   4.4,  10.7,   6.3,  17.3, 


