1.0000 0.6649 -0.0840 -0.3894 -0.1217 0.1483 0.1622 0.0765 0.1177 -0.4642
0.6649 1.0000 0.5805 0.2108 0.2546 0.2290 0.2183 0.2061 0.1711 -0.1266
-0.0840 0.5805 1.0000 0.8601 0.5748 -0.0079 -0.0461 0.0101 -0.0786 0.0647
-0.3894 0.2108 0.8601 1.0000 0.7304 0.0151 -0.0804 -0.0500 -0.1120 0.1627
-0.1217 0.2546 0.5748 0.7304 1.0000 0.5583 0.4139 0.3710 0.3083 0.3293
0.1483 0.2290 -0.0079 0.0151 0.5583 1.0000 0.8416 0.7116 0.7865 0.5736
0.1622 0.2183 -0.0461 -0.0804 0.4139 0.8416 1.0000 0.8929 0.8941 0.5991
0.0765 0.2061 0.0101 -0.0500 0.3710 0.7116 0.8929 1.0000 0.8905 0.6844
0.1177 0.1711 -0.0786 -0.1120 0.3083 0.7865 0.8941 0.8905 1.0000 0.6809
-0.4642 -0.1266 0.0647 0.1627 0.3293 0.5736 0.5991 0.6844 0.6809 1.0000
