1.0000 0.9253 0.8221 0.7625 0.6427 0.5885 0.5511 0.3667 0.3621 0.4444 0.3518
0.9253 1.0000 0.9120 0.8755 0.8134 0.7110 0.6719 0.5570 0.4676 0.5896 0.4649
0.8221 0.9120 1.0000 0.9342 0.8194 0.7848 0.7212 0.6059 0.4937 0.5916 0.6029
0.7625 0.8755 0.9342 1.0000 0.9165 0.8528 0.7988 0.7193 0.5874 0.7408 0.7605
0.6427 0.8134 0.8194 0.9165 1.0000 0.8883 0.8523 0.7985 0.6443 0.7121 0.6585
0.5885 0.7110 0.7848 0.8528 0.8883 1.0000 0.9515 0.8550 0.8100 0.7776 0.6797
0.5511 0.6719 0.7212 0.7988 0.8523 0.9515 1.0000 0.9294 0.8821 0.8164 0.6432
0.3667 0.5570 0.6059 0.7193 0.7985 0.8550 0.9294 1.0000 0.8974 0.8808 0.6651
0.3621 0.4676 0.4937 0.5874 0.6443 0.8100 0.8821 0.8974 1.0000 0.7952 0.5143
0.4444 0.5896 0.5916 0.7408 0.7121 0.7776 0.8164 0.8808 0.7952 1.0000 0.8277
0.3518 0.4649 0.6029 0.7605 0.6585 0.6797 0.6432 0.6651 0.5143 0.8277 1.0000
