292.292	15.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353.577	25.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
423.305	45.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
507.563	86.08	0.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616.98	136.263	3.633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
718.02	204.729	17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
810.51	299.675	33.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
896.53	414.18	79.218	1.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0
942.27	525.79	135.748	10.92	0.071	0	0	0	0	0	0	0	0	0	0	0	0	0
978.21	724.06	277.865	40.641	2.176	0	0	0	0	0	0	0	0	0	0	0	0	0
1070.81	865.99	418.61	93.322	11.63	0	0	0	0	0	0	0	0	0	0	0	0	0
1083.55	1051.14	576.92	204.549	36.54	0.844	0	0	0	0	0	0	0	0	0	0	0	0
1086.14	1255.6	898.56	405.18	105.812	16.96	10.93	0	0	0	0	0	0	0	0	0	0	0
1014.2	1297.2	1127.71	653.34	235.613	58.101	10.692	0	0	0	0	0	0	0	0	0	0	0
981.1	1461	1423.4	1041.16	488.86	151.593	45.203	12.44	1.012	0	0	0	0	0	0	0	0	0
874.6	1448.2	1676.4	1393.6	914.07	408.63	161.143	49.722	9.245	1.229	4.162	0	0	0	0	0	0	0
800.8	1482	1798.8	1921.4	1466.8	962.12	546.45	230.778	84.366	35.891	11.36	0.131	0	0	0	0	0	0
672	1251.5	1813.6	2164.3	2058.7	1764.7	1284.47	764.77	381.36	165.447	70.184	27.745	1.584	19.5	0	0	0	0
513.5	1038	1609	2078.3	2437.2	2388.9	2268.8	1789.5	1224.6	843.41	483.11	260.29	126.5	79.078	44.046	39.409	0	0
273.6	526.3	824.5	1266	1679.1	2036.7	2241.3	2223.2	2104.4	1868.7	1533.2	1183.1	896	778.63	570.85	424.86	319.77	281.9
