cos #theta_{#mu, #pi} ,-1 - 0.15,0.15 - 0.25,0.25 - 0.4,0.4 - 0.5,0.5 - 0.6,0.6 - 0.7,0.7 - 0.8,0.8 - 0.9,0.9 - 1,
Cross-section (x10^{-40} cm^2/nucleon) ,0.831876,2.20197,2.80025,2.72983,3.37434,4.38678,5.92413,6.49835,5.39871,
Total uncertainty (x10^{-40} cm^2/nucleon) ,0.313028,1.31679,1.42395,1.94439,1.89345,1.97106,2.15786,2.49482,2.54384,

Total covariance matrix (x10^{-40} cm^2/nucleon)^2
-1 - 0.15,0.0979866,0.274387,0.281859,0.366445,0.356146,0.361017,0.406446,0.458509,0.411862,
0.15 - 0.25,0.274387,1.73394,1.30506,1.59708,1.4667,1.40771,1.46143,1.63457,1.5055,
0.25 - 0.4,0.281859,1.30506,2.02763,2.04199,1.80148,1.7364,1.8482,2.0962,1.88066,
0.4 - 0.5,0.366445,1.59708,2.04199,3.78064,2.84647,2.59852,2.66748,2.98897,2.85181,
0.5 - 0.6,0.356146,1.4667,1.80148,2.84647,3.58514,2.84135,2.79827,3.21364,3.08367,
0.6 - 0.7,0.361017,1.40771,1.7364,2.59852,2.84135,3.88507,3.28349,3.56828,3.49636,
0.7 - 0.8,0.406446,1.46143,1.8482,2.66748,2.79827,3.28349,4.65637,4.20313,3.97737,
0.8 - 0.9,0.458509,1.63457,2.0962,2.98897,3.21364,3.56828,4.20313,6.22415,4.95495,
0.9 - 1,0.411862,1.5055,1.88066,2.85181,3.08367,3.49636,3.97737,4.95495,6.47114,

Statistical covariance matrix (x10^{-40} cm^2/nucleon)^2
-1 - 0.15,0.0353557,0.0366747,0.00957142,0.0121726,0.00996652,0.0097827,0.0121651,0.00929814,0.0114284,
0.15 - 0.25,0.0366747,0.674202,0.133977,0.0362856,0.0261893,0.0394686,0.0248584,0.0124818,0.0377918,
0.25 - 0.4,0.00957142,0.133977,0.614614,0.156956,0.0668591,0.0455306,0.0479041,0.0786629,0.0186212,
0.4 - 0.5,0.0121726,0.0362856,0.156956,0.906544,0.278518,0.135077,0.144997,0.0934321,0.0930444,
0.5 - 0.6,0.00996652,0.0261893,0.0668591,0.278518,0.924188,0.31401,0.126361,0.0659929,0.0697498,
0.6 - 0.7,0.0097827,0.0394686,0.0455306,0.135077,0.31401,1.06099,0.279463,0.146784,0.151831,
0.7 - 0.8,0.0121651,0.0248584,0.0479041,0.144997,0.126361,0.279463,1.18374,0.260822,0.144059,
0.8 - 0.9,0.00929814,0.0124818,0.0786629,0.0934321,0.0659929,0.146784,0.260822,1.42325,0.28263,
0.9 - 1,0.0114284,0.0377918,0.0186212,0.0930444,0.0697498,0.151831,0.144059,0.28263,1.57251,

