3.3460000E-06 1.7960000E-06 1.2590000E-06 8.5100000E-07 1.3010000E-06 7.7800000E-07 9.9000000E-07 7.7600000E-07 7.2300000E-07 1.8300000E-07 2.5100000E-07 9.0100000E-07
1.7960000E-06 4.3450000E-06 2.1650000E-06 1.5990000E-06 2.5320000E-06 1.9160000E-06 2.4200000E-06 1.8270000E-06 9.3500000E-07 2.6600000E-07 3.1000000E-07 1.0490000E-06
1.2590000E-06 2.1650000E-06 3.0030000E-06 1.4040000E-06 1.8650000E-06 1.4260000E-06 1.8250000E-06 1.4050000E-06 8.7600000E-07 3.1300000E-07 3.4900000E-07 9.6000000E-07
8.5100000E-07 1.5990000E-06 1.4040000E-06 2.3250000E-06 1.8410000E-06 1.3210000E-06 1.5460000E-06 1.1950000E-06 5.5800000E-07 2.3500000E-07 1.7600000E-07 3.5700000E-07
1.3010000E-06 2.5320000E-06 1.8650000E-06 1.8410000E-06 3.3490000E-06 2.1040000E-06 2.4450000E-06 1.8890000E-06 8.8800000E-07 3.5600000E-07 3.3700000E-07 8.5800000E-07
7.7800000E-07 1.9160000E-06 1.4260000E-06 1.3210000E-06 2.1040000E-06 2.1650000E-06 2.0470000E-06 1.4970000E-06 6.0100000E-07 3.1800000E-07 2.7900000E-07 5.5400000E-07
9.9000000E-07 2.4200000E-06 1.8250000E-06 1.5460000E-06 2.4450000E-06 2.0470000E-06 2.8370000E-06 1.9090000E-06 7.4600000E-07 3.1400000E-07 3.4500000E-07 8.3100000E-07
7.7600000E-07 1.8270000E-06 1.4050000E-06 1.1950000E-06 1.8890000E-06 1.4970000E-06 1.9090000E-06 1.9270000E-06 8.5000000E-07 3.3500000E-07 2.9700000E-07 6.8900000E-07
7.2300000E-07 9.3500000E-07 8.7600000E-07 5.5800000E-07 8.8800000E-07 6.0100000E-07 7.4600000E-07 8.5000000E-07 1.0810000E-06 4.9500000E-07 3.1000000E-07 6.6800000E-07
1.8300000E-07 2.6600000E-07 3.1300000E-07 2.3500000E-07 3.5600000E-07 3.1800000E-07 3.1400000E-07 3.3500000E-07 4.9500000E-07 5.1000000E-07 2.4000000E-07 2.4500000E-07
2.5100000E-07 3.1000000E-07 3.4900000E-07 1.7600000E-07 3.3700000E-07 2.7900000E-07 3.4500000E-07 2.9700000E-07 3.1000000E-07 2.4000000E-07 3.4000000E-07 3.5000000E-07
9.0100000E-07 1.0490000E-06 9.6000000E-07 3.5700000E-07 8.5800000E-07 5.5400000E-07 8.3100000E-07 6.8900000E-07 6.6800000E-07 2.4500000E-07 3.5000000E-07 1.1260000E-06
