3.7820000E-06  2.7170000E-06  1.8670000E-06  1.2740000E-06  1.1640000E-06  8.7800000E-07  1.0400000E-06  9.2200000E-07  7.0900000E-07  4.0700000E-07  5.4600000E-07  5.4600000E-07
2.7170000E-06  4.5150000E-06  2.4610000E-06  1.4840000E-06  1.3900000E-06  1.0720000E-06  1.2670000E-06  1.1370000E-06  8.7300000E-07  5.1500000E-07  6.9800000E-07  7.0000000E-07
1.8670000E-06  2.4610000E-06  2.6340000E-06  1.3920000E-06  1.1070000E-06  8.7600000E-07  1.0050000E-06  8.8800000E-07  6.8900000E-07  4.0500000E-07  5.0700000E-07  4.8200000E-07
1.2740000E-06  1.4840000E-06  1.3920000E-06  1.8430000E-06  1.0270000E-06  7.4600000E-07  7.2000000E-07  5.9600000E-07  4.7200000E-07  2.6100000E-07  2.3900000E-07  1.7200000E-07
1.1640000E-06  1.3900000E-06  1.1070000E-06  1.0270000E-06  1.2880000E-06  7.0900000E-07  6.4300000E-07  5.5200000E-07  4.3400000E-07  2.5300000E-07  2.6300000E-07  2.1600000E-07
8.7800000E-07  1.0720000E-06  8.7600000E-07  7.4600000E-07  7.0900000E-07  9.3400000E-07  5.7500000E-07  4.3200000E-07  3.2100000E-07  2.0000000E-07  2.0400000E-07  1.5600000E-07
1.0400000E-06  1.2670000E-06  1.0050000E-06  7.2000000E-07  6.4300000E-07  5.7500000E-07  9.4600000E-07  5.9300000E-07  4.0300000E-07  2.4000000E-07  3.0700000E-07  2.7600000E-07
9.2200000E-07  1.1370000E-06  8.8800000E-07  5.9600000E-07  5.5200000E-07  4.3200000E-07  5.9300000E-07  7.6900000E-07  4.6300000E-07  2.4300000E-07  2.9800000E-07  2.7800000E-07
7.0900000E-07  8.7300000E-07  6.8900000E-07  4.7200000E-07  4.3400000E-07  3.2100000E-07  4.0300000E-07  4.6300000E-07  5.1800000E-07  2.6500000E-07  2.4900000E-07  2.2100000E-07
4.0700000E-07  5.1500000E-07  4.0500000E-07  2.6100000E-07  2.5300000E-07  2.0000000E-07  2.4000000E-07  2.4300000E-07  2.6500000E-07  2.9000000E-07  2.0700000E-07  1.5900000E-07
5.4600000E-07  6.9800000E-07  5.0700000E-07  2.3900000E-07  2.6300000E-07  2.0400000E-07  3.0700000E-07  2.9800000E-07  2.4900000E-07  2.0700000E-07  3.6400000E-07  2.6600000E-07
5.4600000E-07  7.0000000E-07  4.8200000E-07  1.7200000E-07  2.1600000E-07  1.5600000E-07  2.7600000E-07  2.7800000E-07  2.2100000E-07  1.5900000E-07  2.6600000E-07  3.2900000E-07
