1 0.19 -0.16 -0.24 -0.20 -0.23 -0.31 -0.26 0.01 0.13 0.08 0.04 -0.03 
0.19 1 0.03 -0.02 -0.04 -0.07 -0.13 -0.13 -0.03 -0.02 -0.04 -0.04 -0.06 
-0.16 0.03 1 0.16 0.06 0.07 0.08 0.07 -0.06 -0.16 -0.13 -0.11 -0.07 
-0.24 -0.02 0.16 1 0.19 0.18 0.13 0.09 -0.12 -0.21 -0.14 -0.12 -0.11 
-0.20 -0.04 0.06 0.19 1 0.24 0.16 0.02 -0.10 -0.14 -0.16 -0.12 -0.11 
-0.23 -0.07 0.07 0.18 0.24 1 0.17 0.07 -0.09 -0.14 -0.14 -0.11 -0.09 
-0.31 -0.13 0.08 0.13 0.16 0.17 1 0.13 -0.03 -0.1 -0.11 -0.07 -0.02 
-0.26 -0.13 0.07 0.09 0.02 0.07 0.13 1 -0.04 -0.05 -0.01 -0.02 0.02 
0.01 -0.03 -0.06 -0.12 -0.10 -0.09 -0.03 -0.04 1 0.07 0.04 0.05 0.06 
0.13 -0.02 -0.16 -0.21 -0.14 -0.14 -0.1 -0.05 0.07 1 0.17 0.13 0.11 
0.08 -0.04 -0.13 -0.14 -0.16 -0.14 -0.11 -0.01 0.04 0.17 1 0.23 0.16 
0.04 -0.04 -0.11 -0.12 -0.12 -0.11 -0.07 -0.02 0.05 0.13 0.23 1 0.17 
-0.03 -0.06 -0.07 -0.11 -0.11 -0.09 -0.02 0.02 0.06 0.11 0.16 0.17 1 
