Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
7 - 73 | 4.2128282787e-07
7 - 74 | -5.64549773484e-07
7 - 75 | -6.51100998964e-07
7 - 76 | 5.48485070479e-07
7 - 77 | 3.05185167025e-07
7 - 78 | 6.11524263937e-08
7 - 79 | 4.00246300739e-07
7 - 80 | 3.92355373933e-07
7 - 81 | -2.72882715433e-08
7 - 82 | 7.11609618455e-08
7 - 83 | -6.42760348088e-10
7 - 84 | 4.53187024777e-07
7 - 85 | 3.68758080908e-07
7 - 86 | 6.82656733803e-07
7 - 87 | 4.05296463155e-07
7 - 88 | -9.59505923666e-08
7 - 89 | -2.32128086553e-07
7 - 90 | -5.55433783016e-07
7 - 91 | 4.11666171622e-07
7 - 92 | 4.74124673496e-07
7 - 93 | -2.31316678316e-08
7 - 94 | 5.35269497984e-08
7 - 95 | -7.34014027249e-09
8 - 0 | 0.0
8 - 1 | 0.0
8 - 2 | 0.0
8 - 3 | 0.0
8 - 4 | 0.0
8 - 5 | 0.0
8 - 6 | 0.0
8 - 7 | 0.0
8 - 8 | 0.0
8 - 9 | 0.0
8 - 10 | 0.0
8 - 11 | 0.0
8 - 12 | 0.0
8 - 13 | 0.0
8 - 14 | 0.0
8 - 15 | 0.0
8 - 16 | 0.0
8 - 17 | 0.0
8 - 18 | 0.0
8 - 19 | 0.0
8 - 20 | 0.0
8 - 21 | 0.0
8 - 22 | 0.0
8 - 23 | 0.0
8 - 24 | 0.0
8 - 25 | 0.0
8 - 26 | 0.0
8 - 27 | 0.0
8 - 28 | 0.0
8 - 29 | 0.0
8 - 30 | 0.0
8 - 31 | 0.0
8 - 32 | -0.0
8 - 33 | -0.0
8 - 34 | 0.0
8 - 35 | 0.0
8 - 36 | 0.0
8 - 37 | 0.0
8 - 38 | 0.0
8 - 39 | 0.0
8 - 40 | 0.0
8 - 41 | 0.0
8 - 42 | 0.0
